hotel_id,hotel_name,city,country,star_rating,room_type,amenities,price_per_night_aud
HT-SYD-001,The Sydney Boutique,Sydney,Australia,4.8,Executive Suite,"beach access, bar, breakfast included, restaurant",872
HT-SYD-002,Marriott Sydney,Sydney,Australia,5,Deluxe King,"beach access, gym, spa, kids club",862
HT-SYD-003,The Old Town Inn Sydney,Sydney,Australia,3.5,Deluxe King,"spa, wifi, rooftop terrace, breakfast included, bar, restaurant",330
HT-SYD-004,InterContinental Sydney,Sydney,Australia,4.6,Deluxe King,"pool, kids club, spa",545
HT-SYD-005,Shangri-La Sydney,Sydney,Australia,4.8,Junior Suite,"restaurant, airport shuttle, bar",737
HT-SYD-006,Four Seasons Sydney,Sydney,Australia,4.9,Superior Queen,"airport shuttle, wifi, rooftop terrace, pool, kids club",713
HT-SYD-007,Sheraton Sydney,Sydney,Australia,3.8,Standard Double,"restaurant, gym, parking, wifi, rooftop terrace",496
HT-SYD-008,The Old Town Inn Sydney Annex,Sydney,Australia,4.8,Superior Queen,"rooftop terrace, breakfast included, spa, parking, airport shuttle",893
HT-SYD-009,Radisson Blu Sydney,Sydney,Australia,3.7,Executive Suite,"wifi, pool, restaurant, gym, airport shuttle, spa",519
HT-SYD-010,The Sydney Boutique Annex,Sydney,Australia,4.7,Family Room,"pool, restaurant, parking, bar",696
HT-SYD-011,Holiday Inn Sydney,Sydney,Australia,3.3,Family Room,"breakfast included, airport shuttle, pool, kids club, beach access, parking",311
HT-SYD-012,Sydney Harbour Suites,Sydney,Australia,3.7,Junior Suite,"gym, bar, airport shuttle, restaurant",564
HT-SYD-013,ibis Sydney,Sydney,Australia,2.3,Deluxe King,"wifi, pool, rooftop terrace",278
HT-SYD-014,Hotel Sydney Central,Sydney,Australia,2.9,Twin Room,"parking, breakfast included, beach access, spa",334
HT-SYD-015,The Old Town Inn Sydney East,Sydney,Australia,3.4,Twin Room,"spa, breakfast included, kids club, pool, wifi, restaurant",440
HT-SYD-016,Hotel Sydney Central II,Sydney,Australia,4.4,Standard Double,"kids club, rooftop terrace, beach access, spa, pool",656
HT-SYD-017,Casa Sydney,Sydney,Australia,4.9,Standard Double,"bar, spa, pool, breakfast included, kids club",654
HT-SYD-018,Villa Sydney,Sydney,Australia,4.5,Junior Suite,"gym, parking, breakfast included, rooftop terrace, restaurant, bar",790
HT-SYD-019,The Sydney House,Sydney,Australia,4.7,Family Room,"wifi, spa, bar, breakfast included",867
HT-SYD-020,Villa Sydney Riverside,Sydney,Australia,4.1,Junior Suite,"restaurant, rooftop terrace, airport shuttle, bar, beach access",457
HT-SYD-021,Villa Sydney West,Sydney,Australia,3.7,Junior Suite,"wifi, kids club, beach access, restaurant",411
HT-SYD-022,The Old Town Inn Sydney West,Sydney,Australia,3.5,Twin Room,"pool, restaurant, wifi, airport shuttle",502
HT-SYD-023,The Sydney Boutique Annex,Sydney,Australia,3.5,Twin Room,"parking, rooftop terrace, bar",478
HT-SYD-024,Sydney Garden Residence,Sydney,Australia,4.4,Executive Suite,"airport shuttle, wifi, parking, beach access, breakfast included",692
HT-SYD-025,The Grand Sydney Hotel,Sydney,Australia,3.6,Superior Queen,"restaurant, bar, airport shuttle, gym",362
HT-SYD-026,The Old Town Inn Sydney II,Sydney,Australia,3.3,Standard Double,"bar, spa, wifi, pool",476
HT-SYD-027,The Terrace Sydney,Sydney,Australia,3.1,Executive Suite,"wifi, pool, parking, rooftop terrace, breakfast included, restaurant",312
HT-SYD-028,The Old Town Inn Sydney East,Sydney,Australia,3,Family Room,"spa, restaurant, rooftop terrace, bar, airport shuttle, breakfast included",281
HT-SYD-029,Villa Sydney Annex,Sydney,Australia,4.7,Superior Queen,"gym, pool, beach access",689
HT-SYD-030,The Sydney Boutique West,Sydney,Australia,4.9,Executive Suite,"wifi, rooftop terrace, kids club, pool, gym",596
HT-SYD-031,Villa Sydney II,Sydney,Australia,4,Superior Queen,"kids club, wifi, rooftop terrace, pool, gym, beach access",654
HT-SYD-032,The Sydney House II,Sydney,Australia,2.8,Deluxe King,"bar, wifi, parking, airport shuttle",276
HT-SYD-033,The Old Town Inn Sydney II,Sydney,Australia,3,Family Room,"beach access, kids club, restaurant, bar, breakfast included, pool",316
HT-SYD-034,The Old Town Inn Sydney Riverside,Sydney,Australia,4.9,Twin Room,"pool, kids club, wifi",824
HT-MEL-001,Hilton Melbourne,Melbourne,Australia,4.7,Twin Room,"restaurant, airport shuttle, parking",714
HT-MEL-002,Marriott Melbourne,Melbourne,Australia,4.7,Family Room,"breakfast included, restaurant, bar, airport shuttle, rooftop terrace, wifi",694
HT-MEL-003,Hyatt Regency Melbourne,Melbourne,Australia,4.9,Standard Double,"airport shuttle, beach access, pool, wifi",572
HT-MEL-004,InterContinental Melbourne,Melbourne,Australia,5,Twin Room,"rooftop terrace, restaurant, parking, wifi, breakfast included",644
HT-MEL-005,Shangri-La Melbourne,Melbourne,Australia,4.8,Junior Suite,"spa, restaurant, wifi, airport shuttle, bar",619
HT-MEL-006,Melbourne Harbour Suites,Melbourne,Australia,3.3,Family Room,"wifi, airport shuttle, beach access, breakfast included",359
HT-MEL-007,The Terrace Melbourne,Melbourne,Australia,4.5,Standard Double,"spa, gym, bar, pool",485
HT-MEL-008,The Grand Melbourne Hotel,Melbourne,Australia,3.4,Executive Suite,"kids club, breakfast included, beach access, spa, restaurant",453
HT-MEL-009,The Melbourne House,Melbourne,Australia,2.9,Twin Room,"spa, wifi, bar",332
HT-MEL-010,Hotel Melbourne Central,Melbourne,Australia,2.7,Twin Room,"airport shuttle, wifi, pool, parking, gym, spa",286
HT-MEL-011,Melbourne Harbour Suites West,Melbourne,Australia,3,Twin Room,"spa, wifi, beach access, pool, parking",316
HT-MEL-012,Mercure Melbourne,Melbourne,Australia,3.7,Executive Suite,"kids club, gym, breakfast included, wifi",403
HT-MEL-013,Villa Melbourne,Melbourne,Australia,3.7,Junior Suite,"restaurant, beach access, rooftop terrace, kids club, wifi, pool",351
HT-MEL-014,ibis Styles Melbourne,Melbourne,Australia,2.6,Family Room,"kids club, bar, spa, breakfast included, gym",318
HT-MEL-015,Travelodge Melbourne,Melbourne,Australia,2.1,Family Room,"bar, rooftop terrace, beach access, gym, wifi",241
HT-MEL-016,Melbourne Garden Residence,Melbourne,Australia,4.6,Junior Suite,"airport shuttle, restaurant, gym, bar, kids club",555
HT-MEL-017,Hotel Melbourne Central Riverside,Melbourne,Australia,3.7,Twin Room,"gym, wifi, rooftop terrace, parking, bar, pool",555
HT-MEL-018,The Melbourne Boutique,Melbourne,Australia,3.9,Executive Suite,"wifi, breakfast included, rooftop terrace",521
HT-MEL-019,The Grand Melbourne Hotel II,Melbourne,Australia,4.1,Family Room,"wifi, pool, rooftop terrace, airport shuttle, gym",505
HT-MEL-020,The Melbourne House East,Melbourne,Australia,4.9,Superior Queen,"restaurant, gym, spa, bar, pool",727
HT-MEL-021,Melbourne Harbour Suites West,Melbourne,Australia,2.8,Deluxe King,"restaurant, wifi, breakfast included, pool",248
HT-MEL-022,The Melbourne Boutique Annex,Melbourne,Australia,3.2,Superior Queen,"restaurant, parking, wifi, spa",435
HT-MEL-023,The Melbourne House Riverside,Melbourne,Australia,3.1,Standard Double,"beach access, spa, wifi, breakfast included, airport shuttle, bar",352
HT-MEL-024,The Melbourne Boutique East,Melbourne,Australia,4.9,Twin Room,"pool, wifi, rooftop terrace, bar",671
HT-MEL-025,The Melbourne House Riverside,Melbourne,Australia,3.4,Family Room,"spa, rooftop terrace, parking, beach access",471
HT-MEL-026,The Melbourne Boutique Annex,Melbourne,Australia,3,Deluxe King,"beach access, breakfast included, bar, rooftop terrace, parking",402
HT-MEL-027,The Grand Melbourne Hotel East,Melbourne,Australia,4.6,Deluxe King,"wifi, bar, parking, breakfast included, restaurant",612
HT-MEL-028,The Grand Melbourne Hotel II,Melbourne,Australia,4.1,Executive Suite,"bar, restaurant, wifi, pool, airport shuttle, kids club",500
HT-MEL-029,Villa Melbourne II,Melbourne,Australia,4.3,Junior Suite,"gym, spa, kids club, airport shuttle, parking",560
HT-MEL-030,Melbourne Harbour Suites Riverside,Melbourne,Australia,3.9,Deluxe King,"spa, bar, beach access, parking, wifi, gym",545
HT-MEL-031,The Terrace Melbourne East,Melbourne,Australia,3.6,Deluxe King,"wifi, restaurant, breakfast included",402
HT-MEL-032,Casa Melbourne,Melbourne,Australia,4.9,Deluxe King,"breakfast included, restaurant, bar",875
HT-MEL-033,The Old Town Inn Melbourne,Melbourne,Australia,3.4,Standard Double,"gym, airport shuttle, wifi, bar",324
HT-MEL-034,Melbourne Harbour Suites Annex,Melbourne,Australia,3.8,Executive Suite,"kids club, bar, pool, wifi",476
HT-BNE-001,Hilton Brisbane,Brisbane,Australia,5,Deluxe King,"restaurant, spa, kids club",825
HT-BNE-002,Marriott Brisbane,Brisbane,Australia,4.8,Junior Suite,"wifi, pool, gym, beach access, restaurant",543
HT-BNE-003,Brisbane Garden Residence,Brisbane,Australia,3.1,Family Room,"rooftop terrace, bar, beach access",293
HT-BNE-004,InterContinental Brisbane,Brisbane,Australia,4.9,Junior Suite,"restaurant, bar, rooftop terrace, airport shuttle, spa, wifi",815
HT-BNE-005,Casa Brisbane,Brisbane,Australia,2.9,Twin Room,"wifi, airport shuttle, pool",251
HT-BNE-006,Four Seasons Brisbane,Brisbane,Australia,5,Twin Room,"beach access, breakfast included, bar, spa",832
HT-BNE-007,The Terrace Brisbane,Brisbane,Australia,4,Deluxe King,"restaurant, wifi, pool, breakfast included, bar, parking",494
HT-BNE-008,Crowne Plaza Brisbane,Brisbane,Australia,4.3,Junior Suite,"parking, breakfast included, kids club, airport shuttle",431
HT-BNE-009,Brisbane Harbour Suites,Brisbane,Australia,3.3,Executive Suite,"beach access, wifi, spa, airport shuttle, breakfast included, pool",274
HT-BNE-010,Novotel Brisbane,Brisbane,Australia,4.5,Junior Suite,"wifi, pool, bar",506
HT-BNE-011,Holiday Inn Brisbane,Brisbane,Australia,3,Superior Queen,"kids club, wifi, bar, spa, parking",275
