activity_id,activity_name,city,country,category,price_aud,rating,suitable_for,duration_hours
AC-SYD-001,Sydney Street Food Walking Tour,Sydney,Australia,food & drink,79,4.7,"couples, foodies",3.4
AC-SYD-002,Sydney Cooking Class with Local Chef,Sydney,Australia,food & drink,190,3.6,"couples, families",3.2
AC-SYD-003,Sydney Night Market & Tapas Crawl,Sydney,Australia,food & drink,115,4.5,"adults, groups",3.9
AC-SYD-004,Historic Sydney City Walking Tour,Sydney,Australia,culture,33,3.7,everyone,3.1
AC-SYD-005,Sydney Museum & Gallery Pass,Sydney,Australia,culture,45,4.9,everyone,3.4
AC-SYD-006,Sydney Old Town Photography Tour,Sydney,Australia,culture,155,3.8,"couples, solo travellers",3.9
AC-SYD-007,Sydney Sunset Cruise,Sydney,Australia,water,216,4.1,"couples, families",2.6
AC-SYD-008,Snorkelling Day Trip from Sydney,Sydney,Australia,water,113,3.4,"families, adventure seekers",7.5
AC-SYD-009,Sydney Kayak & Coastline Tour,Sydney,Australia,water,129,4.9,active travellers,3.4
AC-SYD-010,Sydney Countryside Day Trip,Sydney,Australia,day trip,346,4.1,everyone,8.7
AC-SYD-011,Wine & Vineyard Tour near Sydney,Sydney,Australia,day trip,309,3.7,adults,6.5
AC-SYD-012,Sydney Hidden Villages Small-Group Tour,Sydney,Australia,day trip,209,4,small groups,8.3
AC-SYD-013,Sydney Mountain Hike & Viewpoints,Sydney,Australia,adventure,89,3.8,active travellers,4.3
AC-SYD-014,Sydney Bike Tour,Sydney,Australia,adventure,129,3.5,"active travellers, families",3.6
AC-SYD-015,Sydney Zipline & Ropes Adventure,Sydney,Australia,adventure,108,3.7,adventure seekers,2.4
AC-SYD-016,Sydney Rooftop Bar Crawl,Sydney,Australia,nightlife,149,4.2,"adults, groups",3.7
AC-SYD-017,Sydney Live Music & Dinner Evening,Sydney,Australia,nightlife,151,4,"couples, adults",3.9
AC-SYD-018,Sydney Craft & Artisan Workshop,Sydney,Australia,class,145,4,everyone,2.9
AC-SYD-019,Sydney Language & Culture Crash Course,Sydney,Australia,class,69,4.8,solo travellers,2.8
AC-SYD-020,Sydney Wellness & Spa Half-Day,Sydney,Australia,wellness,309,4.6,couples,3.3
AC-SYD-021,Sydney Sunrise Yoga Session,Sydney,Australia,wellness,64,4,everyone,1.7
